epoch,center,loss,lr,val_center,val_loss
0,0.004275844432413578,0.004275843966752291,1e-04,0.0007254595984704792,0.0007254597148858011
1,0.0002075487864203751,0.00020754884462803602,1e-04,8.008447184693068e-05,8.00844791228883e-05
2,6.41059668851085e-05,6.410597416106611e-05,1e-04,2.6071489628520794e-05,2.60714932664996e-05
3,2.6171839635935612e-05,2.6171846911893226e-05,1e-04,2.7151190806762315e-05,2.7151190806762315e-05
4,1.5811227058293298e-05,1.5811227058293298e-05,1e-04,9.529677299724426e-06,9.529677299724426e-06
5,1.2042272828693967e-05,1.2042273738188669e-05,1e-04,8.135973985190503e-06,8.135974894685205e-06
6,8.914893442124594e-06,8.914895261113998e-06,1e-04,6.7756591306533664e-06,6.775659585400717e-06
7,8.245073331636377e-06,8.245076969615184e-06,1e-04,6.135565854492597e-06,6.135565854492597e-06
8,6.910309366503498e-06,6.910310275998199e-06,1e-04,4.932080628350377e-06,4.932080173603026e-06
9,5.067076926934533e-06,5.067075107945129e-06,1e-04,5.019705440645339e-06,5.019704985897988e-06
10,4.454745976545382e-06,4.45474461230333e-06,1e-04,4.470775365916779e-06,4.470775365916779e-06
11,4.25795678893337e-06,4.257955424691318e-06,1e-04,3.099200739598018e-06,3.0992005122243427e-06
12,3.5204434425395448e-06,3.5204436699132202e-06,1e-04,6.403039151336998e-06,6.403038696589647e-06
13,2.918392738138209e-06,2.91839319288556e-06,1e-04,3.555759349183063e-06,3.5557595765567385e-06
14,2.480133389326511e-06,2.48013293457916e-06,1e-04,4.809514393855352e-06,4.809514848602703e-06
15,2.664136218299973e-06,2.6641366730473237e-06,1e-04,2.230061454611132e-06,2.2300612272374565e-06
16,3.2435434604849434e-06,3.2435441426059697e-06,1e-04,2.5924755391315557e-06,2.5924755391315557e-06
17,1.734344778014929e-06,1.7343444369544159e-06,5e-05,1.5856567188166082e-06,1.5856566051297705e-06
18,1.3942225223217974e-06,1.3942221812612843e-06,5e-05,1.5740403114250512e-06,1.5740403114250512e-06
19,1.4063240314499126e-06,1.4063240314499126e-06,5e-05,1.4474053386948071e-06,1.4474054523816449e-06
20,1.2876913615400554e-06,1.2876907931058668e-06,5e-05,1.561223712087667e-06,1.5612235984008294e-06
21,1.2736683174807695e-06,1.2736679764202563e-06,5e-05,2.1405849111033604e-06,2.140585138477036e-06
22,1.3492389143721084e-06,1.349239482806297e-06,5e-05,1.2801884849977796e-06,1.2801883713109419e-06
23,1.1964028772126767e-06,1.196402763525839e-06,5e-05,1.4174526086208061e-06,1.4174524949339684e-06
24,1.1748704764613649e-06,1.1748704764613649e-06,2.5e-05,1.3146419632903417e-06,1.314641849603504e-06
25,1.0332001920687617e-06,1.033199623634573e-06,2.5e-05,1.3089683079670067e-06,1.3089684216538444e-06
26,1.0729144150900538e-06,1.0729144150900538e-06,2.5e-05,1.0324228014724213e-06,1.0324228014724213e-06
27,9.754070333656273e-07,9.754072607393027e-07,2.5e-05,1.1246394251429592e-06,1.1246394251429592e-06
28,1.056616270034283e-06,1.056616611094796e-06,2.5e-05,1.0536515446801786e-06,1.0536515446801786e-06
29,9.42363385547651e-07,9.423636129213264e-07,2.5e-05,9.184124110106495e-07,9.184123541672307e-07
30,9.683977850727388e-07,9.683973303253879e-07,2.5e-05,1.051460003509419e-06,1.0514598898225813e-06
31,8.900224770513887e-07,8.900224202079698e-07,1.25e-05,9.962049034584197e-07,9.962049034584197e-07
32,8.710864562999632e-07,8.710869110473141e-07,1.25e-05,1.0844725011338596e-06,1.0844725011338596e-06
33,8.594026326136373e-07,8.594026326136373e-07,1.25e-05,1.0554668961049174e-06,1.0554668961049174e-06
34,8.988972126644512e-07,8.988972126644512e-07,1.25e-05,9.494841606283444e-07,9.494842743151821e-07
35,8.572541219109553e-07,8.572540650675364e-07,1.25e-05,9.108889571507461e-07,9.108891276810027e-07
36,8.953620636020787e-07,8.95361949915241e-07,1.25e-05,9.75528450908314e-07,9.75528450908314e-07
37,8.364992254428216e-07,8.364988275388896e-07,1.25e-05,1.1645353197309305e-06,1.1645353197309305e-06
38,8.421978350270365e-07,8.421972665928479e-07,6.25e-06,9.298634608967404e-07,9.298633472099027e-07
39,8.263668291874637e-07,8.263666018137883e-07,6.25e-06,9.369416034132882e-07,9.369416602567071e-07
