epoch,center,loss,lr,val_center,val_loss
0,0.0031678332015872,0.0031678311061114073,1e-04,0.0003234316245652735,0.00032343159546144307
1,0.00013199736713431776,0.0001319973962381482,1e-04,9.160575427813455e-05,9.160576883004978e-05
2,5.041078111389652e-05,5.0410784751875326e-05,1e-04,3.7311416235752404e-05,3.731141987373121e-05
3,2.9653552701347508e-05,2.9653565434273332e-05,1e-04,2.5722378268255852e-05,2.5722380087245256e-05
4,1.4284407370723784e-05,1.4284404642239679e-05,1e-04,7.884652404754888e-06,7.884652404754888e-06
5,7.466942861356074e-06,7.4669410423666704e-06,1e-04,6.90092792865471e-06,6.90092792865471e-06
6,5.269195753498934e-06,5.269196208246285e-06,1e-04,6.079120339563815e-06,6.079120339563815e-06
7,3.98589236283442e-06,3.985890998592367e-06,1e-04,4.018822892248863e-06,4.018823346996214e-06
8,2.8878469038318144e-06,2.887846676458139e-06,1e-04,4.496345354709774e-06,4.496344899962423e-06
9,2.8168296921649016e-06,2.8168317385279806e-06,1e-04,5.3375092647911515e-06,5.337509719538502e-06
10,1.9882074866472976e-06,1.988207714020973e-06,1e-04,1.7360520132569945e-06,1.7360520132569945e-06
11,1.769137270457577e-06,1.7691367020233884e-06,1e-04,2.2895590063853888e-06,2.2895590063853888e-06
12,2.1184223442105576e-06,2.1184223442105576e-06,1e-04,1.3812532415613532e-06,1.381253696308704e-06
13,1.430235442967387e-06,1.4302364661489264e-06,1e-04,1.9330727809574455e-06,1.93307255358377e-06
14,1.1457337905085296e-06,1.1457329947006656e-06,1e-04,1.143251097346365e-06,1.143251097346365e-06
15,1.1051010915252846e-06,1.10510131889896e-06,1e-04,1.2165352245574468e-06,1.216535110870609e-06
16,8.750917572797334e-07,8.750914162192203e-07,5e-05,1.639601919123379e-06,1.6396020328102168e-06
17,8.361869845430192e-07,8.361868140127626e-07,5e-05,8.755210956223891e-07,8.755210956223891e-07
18,8.195892746698519e-07,8.19589217826433e-07,5e-05,1.1663860277622007e-06,1.1663860277622007e-06
19,7.837926432330278e-07,7.837930411369598e-07,5e-05,9.261491413781187e-07,9.261492550649564e-07
20,7.398596721941431e-07,7.398594448204676e-07,5e-05,7.908492420938273e-07,7.908491852504085e-07
21,7.842855893613887e-07,7.84285077770619e-07,5e-05,1.3292378753249068e-06,1.3292379890117445e-06
22,7.210616672637116e-07,7.210617809505493e-07,5e-05,7.613146522089664e-07,7.613145953655476e-07
23,6.450812861658051e-07,6.450813430092239e-07,2.5e-05,7.681338729526033e-07,7.68133986639441e-07
24,6.418974862754112e-07,6.418973725885735e-07,2.5e-05,7.808348527760245e-07,7.808349096194434e-07
25,6.081496621845872e-07,6.081493779674929e-07,2.5e-05,6.533349505843944e-07,6.533350074278133e-07
26,6.243084840207302e-07,6.243084840207302e-07,2.5e-05,6.753518277946569e-07,6.753518277946569e-07
27,5.95433562011749e-07,5.954333914814924e-07,2.5e-05,6.888056987008895e-07,6.888057555443083e-07
28,5.88404930113029e-07,5.884050437998667e-07,2.5e-05,6.5413104266554e-07,6.541310995089589e-07
29,5.900770361222385e-07,5.900772066524951e-07,2.5e-05,7.338487648667069e-07,7.338487080232881e-07
30,6.107811145739106e-07,6.10780944043654e-07,2.5e-05,6.864594865874096e-07,6.864595434308285e-07
31,5.633373234559258e-07,5.633372666125069e-07,1.25e-05,6.105723286964349e-07,6.105723855398537e-07
32,5.590599698734877e-07,5.590600267169066e-07,1.25e-05,6.605927183045424e-07,6.605926614611235e-07
33,5.54734299385018e-07,5.547340720113425e-07,1.25e-05,6.161857868391962e-07,6.161857868391962e-07
34,5.448895308290957e-07,5.448892466120014e-07,1.25e-05,6.712660933771986e-07,6.712660365337797e-07
35,5.455581231217366e-07,5.455578389046423e-07,1.25e-05,5.863062142452691e-07,5.863061574018502e-07
36,5.56173006316385e-07,5.56173006316385e-07,1.25e-05,6.686706797154329e-07,6.686707365588518e-07
37,5.381258461056859e-07,5.381260166359425e-07,1.25e-05,6.475357849922148e-07,6.475356144619582e-07
38,5.235634716882487e-07,5.23563358001411e-07,6.25e-06,6.140825803413463e-07,6.140824098110897e-07
39,5.27941210748395e-07,5.279414949654893e-07,6.25e-06,5.875797910448455e-07,5.875797910448455e-07
40,5.293933327266132e-07,5.293932758831943e-07,6.25e-06,5.838786023559805e-07,5.838785455125617e-07
41,5.014184125684551e-07,5.014184125684551e-07,6.25e-06,6.201849487297295e-07,6.201850624165672e-07
42,5.139341965332278e-07,5.139342533766467e-07,6.25e-06,5.90141780776321e-07,5.901417239329021e-07
43,5.357806571737456e-07,5.357805434869078e-07,6.25e-06,5.97837697569048e-07,5.97837697569048e-07
44,5.250387289379432e-07,5.250383878774301e-07,6.25e-06,6.294471290857473e-07,6.294471290857473e-07
45,5.190826755097078e-07,5.190826755097078e-07,3.125e-06,6.110910817369586e-07,6.110911954237963e-07
